k,avg_cross_val_accuracy
5,3.6699162437521933
10,2.8991505257152093
15,3.056199750356407
20,3.196048803866832
25,3.081931311576104
30,3.320329607903207
35,3.3244160307996973
40,3.3910650571533685
45,3.388433654227724
50,3.3887381814008064
